n_disclosed,n_hidden,runs,mean_total_ms,stddev_total_ms,cv_percent,median_total_ms,iqr_total_ms,mean_auth_verify_ms,mean_bbs_proof_verify_ms,mean_lower_bp_verify_ms,mean_upper_bp_verify_ms,gomaxprocs
1,4,100,41.540,4.117,9.910,41.097,3.789,6.687,24.299,4.345,4.916,1
2,3,100,42.108,4.235,10.057,41.435,4.546,7.183,24.394,4.518,4.574,1
3,2,100,40.842,4.789,11.725,41.070,4.085,6.862,24.377,4.232,3.719,1
4,1,100,40.798,4.485,10.993,40.927,3.650,7.044,23.713,4.435,4.481,1
5,0,100,41.174,4.221,10.252,41.139,3.878,6.855,24.195,4.496,4.210,1
