operation,n_hp,readings,mean_ns,stddev_ns,cv_percent,mean_per_hp_ns,gpk_bytes,gmk_bytes,member_key_bytes,signature_bytes,gomaxprocs,operations_per_sample
group_setup,0,100,492223.140,21392.481,4.346094,0,384,96,80,336,1,100
member_key_issuance,10,100,1098905.420,92825.522,8.447089,109890.542,384,96,80,336,1,1000
member_key_issuance,100,100,11295660.400,1130210.044,10.005701,112956.604,384,96,80,336,1,1000
member_key_issuance,1000,100,114820635.000,12329827.533,10.738338,114820.635,384,96,80,336,1,1000
member_key_issuance,10000,100,1110306083.000,146526407.455,13.196938,111030.608,384,96,80,336,1,10000
