n_disclosed,n_hidden,runs,mean_total_ms,stddev_total_ms,cv_percent,median_total_ms,iqr_total_ms,mean_bbs_proof_ms,mean_lower_bulletproof_ms,mean_upper_bulletproof_ms,gomaxprocs
1,4,100,124.906,24.373,19.513,127.553,20.953,57.856,28.695,27.747,1
2,3,100,124.742,22.539,18.069,126.022,19.648,56.879,28.733,28.246,1
3,2,100,124.176,25.082,20.198,127.981,22.334,55.243,28.708,29.303,1
4,1,100,117.918,23.299,19.758,119.137,21.486,51.297,27.815,28.216,1
5,0,100,119.525,23.677,19.809,125.755,23.404,50.506,29.008,29.355,1
